model,cases,success_rate,agent_goal_fraction,runtime_mean,runtime_median,solved_cost_mean
SSIL classifier,1844,0.663232104121475,0.9567877866439417,18.9866639233463,9.321293830871582,94868.83319705642
Flow GNN (wave10),1844,0.5959869848156182,0.9039202841476431,32.7099637434436,21.16856348514557,102709.09190172884
Flow GNN (Parth e14),1844,0.6214750542299349,0.9269651830905898,32.82679429062018,21.295660257339478,101385.07853403142
Transformer + action head,1844,0.4197396963123644,0.7936279783424577,42.36037492842581,49.86332070827484,53978.14857881137
Transformer flow only,1844,0.31019522776572667,0.6850003572289364,50.354347776306426,60.04365527629852,37229.47202797203
Transformer flow-dot aux,1844,0.2017353579175705,0.66968479711118,53.01830323696654,60.057427406311035,26889.137096774193
