mapName,scenFile,agentNum,seed,shieldType,lacamLookahead,modelPath,useGPU,maxSteps,success,total_cost_true,total_cost_not_resting_at_goal,num_agents_at_goal,runtime,create_nn_data,forward_pass,cs-time
Berlin_1_256,data/scen-random/Berlin_1_256-random-1.scen,100,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,20239,19607,100,8.664133071899414,0.4802520275115967,7.409819602966309,0.3562138080596924
Berlin_1_256,data/scen-random/Berlin_1_256-random-1.scen,200,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,43501,41757,200,12.311063528060913,1.4259114265441895,9.389068365097046,0.8904407024383545
Berlin_1_256,data/scen-random/Berlin_1_256-random-1.scen,300,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,66542,63384,300,13.674775838851929,2.2491908073425293,9.418018341064453,1.2936391830444336
Berlin_1_256,data/scen-random/Berlin_1_256-random-1.scen,400,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,91309,85215,400,18.57051920890808,5.866622686386108,9.948212385177612,1.8976523876190186
Berlin_1_256,data/scen-random/Berlin_1_256-random-1.scen,500,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,116464,105874,500,22.235322952270508,8.64959192276001,9.498042345046997,2.3395280838012695
Berlin_1_256,data/scen-random/Berlin_1_256-random-1.scen,600,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,142758,128561,600,25.86199116706848,11.054368495941162,9.581904411315918,2.8020052909851074
Berlin_1_256,data/scen-random/Berlin_1_256-random-1.scen,700,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,167978,150986,700,32.07655096054077,14.303324460983276,9.541435480117798,3.295423746109009
Berlin_1_256,data/scen-random/Berlin_1_256-random-1.scen,800,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,194616,174102,800,38.36643958091736,18.50265884399414,10.29851508140564,3.936821460723877
Berlin_1_256,data/scen-random/Berlin_1_256-random-1.scen,900,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,225440,198817,900,46.14175748825073,22.578301668167114,11.13375210762024,4.55858850479126
Berlin_1_256,data/scen-random/Berlin_1_256-random-1.scen,1000,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,256930,223525,1000,61.46680283546448,31.893437385559082,12.168009519577026,5.654934883117676
Berlin_1_256,data/scen-random/Berlin_1_256-random-10.scen,100,0,CS-PIBT,0,large_scale_flow_wave10_newdata_clean_20260416_224144_best.pt,True,3x,True,22514,22179,100,9.461241483688354,0.5278739929199219,8.075841426849365,0.3966214656829834
