mapName,scenFile,agentNum,seed,shieldType,success,total_cost_true,total_cost_not_resting_at_goal,num_agents_at_goal,runtime
empty-32-32,data/scen-random/empty-32-32-random-23.scen,200,0,CS-PIBT,True,6342,5498,200,0.159
empty-32-32,data/scen-random/empty-32-32-random-20.scen,400,0,CS-PIBT,True,15697,13562,400,0.322
empty-32-32,data/scen-random/empty-32-32-random-2.scen,400,0,CS-PIBT,True,16397,14087,400,0.357
empty-32-32,data/scen-random/empty-32-32-random-22.scen,300,0,CS-PIBT,True,10819,9108,300,0.244
empty-32-32,data/scen-random/empty-32-32-random-25.scen,100,0,CS-PIBT,True,2748,2439,100,0.074
empty-32-32,data/scen-random/empty-32-32-random-21.scen,400,0,CS-PIBT,True,16014,13764,400,0.295
Berlin_1_256,data/scen-random/Berlin_1_256-random-9.scen,300,0,CS-PIBT,True,59026,55418,300,1.628
empty-32-32,data/scen-random/empty-32-32-random-24.scen,200,0,CS-PIBT,True,6602,5430,200,0.170
empty-32-32,data/scen-random/empty-32-32-random-19.scen,500,0,CS-PIBT,True,24060,20599,500,0.473
empty-32-32,data/scen-random/empty-32-32-random-23.scen,300,0,CS-PIBT,True,10600,9063,300,0.228
empty-32-32,data/scen-random/empty-32-32-random-3.scen,100,0,CS-PIBT,True,2789,2413,100,0.082
empty-32-32,data/scen-random/empty-32-32-random-25.scen,200,0,CS-PIBT,True,6107,5308,200,0.147
empty-32-32,data/scen-random/empty-32-32-random-2.scen,500,0,CS-PIBT,True,23397,20297,500,0.452
empty-32-32,data/scen-random/empty-32-32-random-22.scen,400,0,CS-PIBT,True,16478,13987,400,0.334
empty-32-32,data/scen-random/empty-32-32-random-4.scen,100,0,CS-PIBT,True,2567,2339,100,0.066
Berlin_1_256,data/scen-random/Berlin_1_256-random-5.scen,700,0,CS-PIBT,True,151288,132225,700,3.800
empty-32-32,data/scen-random/empty-32-32-random-24.scen,300,0,CS-PIBT,True,10649,8741,300,0.232
empty-32-32,data/scen-random/empty-32-32-random-23.scen,400,0,CS-PIBT,True,15693,13667,400,0.307
empty-32-32,data/scen-random/empty-32-32-random-20.scen,500,0,CS-PIBT,True,23495,20046,500,0.471
empty-32-32,data/scen-random/empty-32-32-random-3.scen,200,0,CS-PIBT,True,6051,5286,200,0.163
empty-32-32,data/scen-random/empty-32-32-random-5.scen,100,0,CS-PIBT,True,2902,2412,100,0.077
empty-32-32,data/scen-random/empty-32-32-random-4.scen,200,0,CS-PIBT,True,6104,5309,200,0.142
empty-32-32,data/scen-random/empty-32-32-random-25.scen,300,0,CS-PIBT,True,10509,8890,300,0.240
empty-32-32,data/scen-random/empty-32-32-random-6.scen,100,0,CS-PIBT,True,2539,2329,100,0.077
Berlin_1_256,data/scen-random/Berlin_1_256-random-4.scen,800,0,CS-PIBT,True,173705,150099,800,4.484
empty-32-32,data/scen-random/empty-32-32-random-5.scen,200,0,CS-PIBT,True,6512,5378,200,0.147
empty-32-32,data/scen-random/empty-32-32-random-21.scen,500,0,CS-PIBT,True,22809,19627,500,0.487
empty-32-32,data/scen-random/empty-32-32-random-3.scen,300,0,CS-PIBT,True,10677,9043,300,0.238
empty-32-32,data/scen-random/empty-32-32-random-24.scen,400,0,CS-PIBT,True,16565,13308,400,0.344
empty-32-32,data/scen-random/empty-32-32-random-7.scen,100,0,CS-PIBT,True,2731,2278,100,0.074
empty-32-32,data/scen-random/empty-32-32-random-22.scen,500,0,CS-PIBT,True,23526,20258,500,0.457
empty-32-32,data/scen-random/empty-32-32-random-25.scen,400,0,CS-PIBT,True,15588,13453,400,0.321
Berlin_1_256,data/scen-random/Berlin_1_256-random-7.scen,500,0,CS-PIBT,True,101277,87074,500,2.991
Berlin_1_256,data/scen-random/Berlin_1_256-random-8.scen,400,0,CS-PIBT,True,82447,76253,400,2.327
empty-32-32,data/scen-random/empty-32-32-random-4.scen,300,0,CS-PIBT,True,10797,8993,300,0.233
empty-32-32,data/scen-random/empty-32-32-random-6.scen,200,0,CS-PIBT,True,6298,5430,200,0.148
empty-32-32,data/scen-random/empty-32-32-random-23.scen,500,0,CS-PIBT,True,22600,19626,500,0.446
empty-32-32,data/scen-random/empty-32-32-random-7.scen,200,0,CS-PIBT,True,6108,5297,200,0.136
empty-32-32,data/scen-random/empty-32-32-random-3.scen,400,0,CS-PIBT,True,16438,13645,400,0.321
empty-32-32,data/scen-random/empty-32-32-random-5.scen,300,0,CS-PIBT,True,10836,9309,300,0.222
empty-32-32,data/scen-random/empty-32-32-random-8.scen,100,0,CS-PIBT,True,2737,2443,100,0.087
empty-32-32,data/scen-random/empty-32-32-random-9.scen,100,0,CS-PIBT,True,2681,2416,100,0.070
