mapName,scenFile,agentNum,seed,shieldType,lacamLookahead,modelPath,useGPU,maxSteps,success,total_cost_true,total_cost_not_resting_at_goal,num_agents_at_goal,runtime,create_nn_data,forward_pass,cs-time
Paris_1_256,data/scen-random/Paris_1_256-random-11.scen,900,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,246843,209940,900,46.56841850280762,21.66316246986389,0.0,4.852526664733887
Paris_1_256,data/scen-random/Paris_1_256-random-11.scen,1000,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,275161,234941,1000,55.0892391204834,26.452178955078125,0.0,5.422954559326172
Paris_1_256,data/scen-random/Paris_1_256-random-12.scen,100,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,23107,21525,100,11.574191093444824,0.5854594707489014,0.0,0.5079123973846436
Paris_1_256,data/scen-random/Paris_1_256-random-12.scen,200,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,45758,42964,200,13.315675258636475,1.2198936939239502,0.0,1.000173807144165
Paris_1_256,data/scen-random/Paris_1_256-random-12.scen,300,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,72362,66655,300,15.08875823020935,2.2359488010406494,0.0,1.4885423183441162
Paris_1_256,data/scen-random/Paris_1_256-random-12.scen,400,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,99656,90263,400,19.78646469116211,6.089162588119507,0.0,2.104435920715332
Paris_1_256,data/scen-random/Paris_1_256-random-12.scen,500,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,124001,110966,500,24.977108240127563,9.060446500778198,0.0,2.6448416709899902
Paris_1_256,data/scen-random/Paris_1_256-random-12.scen,600,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,154133,134795,600,28.620667457580566,11.237499237060547,0.0,3.177978515625
Paris_1_256,data/scen-random/Paris_1_256-random-12.scen,700,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,182543,159350,700,36.08998107910156,14.677866220474243,0.0,3.7391984462738037
Paris_1_256,data/scen-random/Paris_1_256-random-12.scen,800,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,211383,183373,800,39.7379035949707,17.50741696357727,0.0,4.281144380569458
Paris_1_256,data/scen-random/Paris_1_256-random-12.scen,900,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,243132,209273,900,48.69233703613281,22.579155683517456,0.0,5.125443696975708
Paris_1_256,data/scen-random/Paris_1_256-random-12.scen,1000,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,276487,233813,1000,54.67776155471802,26.348074674606323,0.0,5.400787115097046
Paris_1_256,data/scen-random/Paris_1_256-random-13.scen,100,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,22736,21943,100,11.737825870513916,0.5896024703979492,0.0,0.5117740631103516
Paris_1_256,data/scen-random/Paris_1_256-random-13.scen,200,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,46041,44435,200,13.078325510025024,1.2059786319732666,0.0,0.9893085956573486
Paris_1_256,data/scen-random/Paris_1_256-random-13.scen,300,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,70392,65708,300,14.827207088470459,2.2103350162506104,0.0,1.4691455364227295
Paris_1_256,data/scen-random/Paris_1_256-random-13.scen,400,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,96454,88634,400,19.55571746826172,5.98816990852356,0.0,2.0661206245422363
Paris_1_256,data/scen-random/Paris_1_256-random-13.scen,500,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,122744,111675,500,28.35494327545166,10.272642135620117,0.0,3.069628953933716
Paris_1_256,data/scen-random/Paris_1_256-random-13.scen,600,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,150592,132939,600,31.221251249313354,12.232436418533325,0.0,3.4656150341033936
Paris_1_256,data/scen-random/Paris_1_256-random-13.scen,700,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,178296,158252,700,39.85871338844299,16.273273229599,0.0,4.147475481033325
Paris_1_256,data/scen-random/Paris_1_256-random-13.scen,800,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,208266,182066,800,42.32571315765381,18.763569593429565,0.0,4.52396559715271
Paris_1_256,data/scen-random/Paris_1_256-random-13.scen,900,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,241673,205993,900,50.73661470413208,23.560020208358765,0.0,5.3478171825408936
Paris_1_256,data/scen-random/Paris_1_256-random-13.scen,1000,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,275397,232677,1000,59.81211519241333,28.79184079170227,0.0,5.965087413787842
Paris_1_256,data/scen-random/Paris_1_256-random-14.scen,100,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,21822,21164,100,12.146124601364136,0.6100704669952393,0.0,0.5325520038604736
Paris_1_256,data/scen-random/Paris_1_256-random-14.scen,200,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,45505,42514,200,13.628276109695435,1.2703282833099365,0.0,1.0300631523132324
Paris_1_256,data/scen-random/Paris_1_256-random-14.scen,300,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,69415,63852,300,15.49992823600769,2.294398069381714,0.0,1.5295000076293945
Paris_1_256,data/scen-random/Paris_1_256-random-14.scen,400,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,94788,86142,400,20.18446660041809,6.16425347328186,0.0,2.1418519020080566
Paris_1_256,data/scen-random/Paris_1_256-random-14.scen,500,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,124321,109558,500,25.388064861297607,9.220575094223022,0.0,2.678694248199463
Paris_1_256,data/scen-random/Paris_1_256-random-14.scen,600,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,154229,135225,600,28.652738571166992,11.168689966201782,0.0,3.1618263721466064
Paris_1_256,data/scen-random/Paris_1_256-random-14.scen,700,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,183015,157295,700,36.076460123062134,14.744922637939453,0.0,3.695814609527588
Paris_1_256,data/scen-random/Paris_1_256-random-14.scen,800,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,213268,181423,800,38.778321981430054,17.176999807357788,0.0,4.151933193206787
Paris_1_256,data/scen-random/Paris_1_256-random-14.scen,900,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,242976,205911,900,45.183396100997925,20.955511331558228,0.0,4.687021493911743
Paris_1_256,data/scen-random/Paris_1_256-random-14.scen,1000,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,272888,231221,1000,52.15434217453003,25.039139986038208,0.0,5.201412677764893
Paris_1_256,data/scen-random/Paris_1_256-random-15.scen,100,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,24771,23900,100,12.154778957366943,0.6176269054412842,0.0,0.5423619747161865
Paris_1_256,data/scen-random/Paris_1_256-random-15.scen,200,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,50851,48069,200,13.220535039901733,1.2282097339630127,0.0,0.9994897842407227
Paris_1_256,data/scen-random/Paris_1_256-random-15.scen,300,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,75681,69875,300,16.335466146469116,2.435288190841675,0.0,1.6116108894348145
Paris_1_256,data/scen-random/Paris_1_256-random-15.scen,400,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,102277,93443,400,21.31164526939392,6.529237270355225,0.0,2.256023406982422
Paris_1_256,data/scen-random/Paris_1_256-random-15.scen,500,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,133583,118952,500,26.75010371208191,9.737642765045166,0.0,2.7992098331451416
Paris_1_256,data/scen-random/Paris_1_256-random-15.scen,600,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,161584,142631,600,30.76609444618225,12.098298788070679,0.0,3.5728085041046143
Paris_1_256,data/scen-random/Paris_1_256-random-15.scen,700,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,191112,165084,700,37.627273082733154,15.356183052062988,0.0,3.900712490081787
Paris_1_256,data/scen-random/Paris_1_256-random-15.scen,800,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,218345,186853,800,41.208962202072144,18.21482825279236,0.0,4.440563917160034
Paris_1_256,data/scen-random/Paris_1_256-random-15.scen,900,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,247168,210929,900,48.0019211769104,22.23900318145752,0.0,5.005944013595581
Paris_1_256,data/scen-random/Paris_1_256-random-15.scen,1000,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,279127,234892,1000,55.20121145248413,26.580222129821777,0.0,5.499410152435303
Paris_1_256,data/scen-random/Paris_1_256-random-16.scen,100,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,24746,24242,100,12.179232835769653,0.6171519756317139,0.0,0.5347189903259277
Paris_1_256,data/scen-random/Paris_1_256-random-16.scen,200,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,50766,48660,200,13.669299125671387,1.2832071781158447,0.0,1.027857780456543
Paris_1_256,data/scen-random/Paris_1_256-random-16.scen,300,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,75835,70164,300,15.58262038230896,2.302474021911621,0.0,1.5322418212890625
Paris_1_256,data/scen-random/Paris_1_256-random-16.scen,400,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,102888,94055,400,21.237894296646118,6.509236574172974,0.0,2.2822344303131104
Paris_1_256,data/scen-random/Paris_1_256-random-16.scen,500,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,131868,118576,500,26.346793174743652,9.587266683578491,0.0,2.760075092315674
Paris_1_256,data/scen-random/Paris_1_256-random-16.scen,600,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,158909,141177,600,30.3245267868042,11.849376916885376,0.0,3.357351064682007
Paris_1_256,data/scen-random/Paris_1_256-random-16.scen,700,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,185752,162704,700,38.09943389892578,15.514522552490234,0.0,3.9518680572509766
Paris_1_256,data/scen-random/Paris_1_256-random-16.scen,800,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,217781,187184,800,41.06763195991516,18.175256729125977,0.0,4.406412363052368
Paris_1_256,data/scen-random/Paris_1_256-random-16.scen,900,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,247957,211794,900,48.40286326408386,22.546634674072266,0.0,5.048325300216675
Paris_1_256,data/scen-random/Paris_1_256-random-16.scen,1000,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,275957,233723,1000,55.537540674209595,26.62476348876953,0.0,5.651090145111084
Paris_1_256,data/scen-random/Paris_1_256-random-17.scen,100,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,23701,23528,100,12.561755418777466,0.629082202911377,0.0,0.5469627380371094
Paris_1_256,data/scen-random/Paris_1_256-random-17.scen,200,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,49594,47370,200,13.851098775863647,1.2751524448394775,0.0,1.0391075611114502
Paris_1_256,data/scen-random/Paris_1_256-random-17.scen,300,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,75708,68891,300,15.670485734939575,2.3347067832946777,0.0,1.5602247714996338
Paris_1_256,data/scen-random/Paris_1_256-random-17.scen,400,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,104838,94381,400,20.437917709350586,6.253181457519531,0.0,2.1512291431427
Paris_1_256,data/scen-random/Paris_1_256-random-17.scen,500,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,132812,118730,500,26.87243628501892,9.723171949386597,0.0,2.8081095218658447
Paris_1_256,data/scen-random/Paris_1_256-random-17.scen,600,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,163645,143056,600,30.32826328277588,11.97806978225708,0.0,3.3710081577301025
Paris_1_256,data/scen-random/Paris_1_256-random-17.scen,700,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,192173,167140,700,37.16282510757446,15.099574565887451,0.0,3.8354849815368652
Paris_1_256,data/scen-random/Paris_1_256-random-17.scen,800,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,218950,190187,800,39.73285913467407,17.549798250198364,0.0,4.2913477420806885
Paris_1_256,data/scen-random/Paris_1_256-random-17.scen,900,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,249984,213539,900,47.446537256240845,22.02040958404541,0.0,4.992479085922241
Paris_1_256,data/scen-random/Paris_1_256-random-17.scen,1000,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,283578,238270,1000,54.6561439037323,26.344844818115234,0.0,5.387253999710083
Paris_1_256,data/scen-random/Paris_1_256-random-18.scen,100,0,CS-PIBT,0,large_scale_flow_wave9_compact_best.pt,True,3x,True,21213,20773,100,11.000685691833496,0.5536894798278809,0.0,0.47264742851257324
