variant,cases,success_rate,agent_goal_fraction,runtime_mean,runtime_median,solved_cost_mean
Flow-dot aux,1844,0.2017353579175705,0.66968479711118,53.01830323696654,60.057427406311035,26889.137096774193
Action head,1850,0.42108108108108105,0.7941816173316173,42.37320812483092,49.817797780036926,54112.06546854942
Flow only,1850,0.3091891891891892,0.6849245903045903,50.386177201013304,60.044155955314636,37229.47202797203
