agentNum,Flow-dot aux,Action head,Flow only
100,0.678391959798995,0.715,0.685
200,0.5175879396984925,0.65,0.555
300,0.34673366834170855,0.625,0.44
400,0.20100502512562815,0.535,0.33
500,0.10344827586206896,0.4514285714285714,0.2914285714285714
600,0.04,0.32571428571428573,0.28
700,0.0,0.2571428571428571,0.24571428571428572
800,0.0,0.21142857142857144,0.14857142857142858
900,0.0,0.17142857142857143,0.005714285714285714
1000,0.0,0.14857142857142858,0.0
