map,scenario,agents,policy,shield_type,success,agents_at_goal,agent_fraction_at_goal,path_length,path_length_ratio,smoothness,collisions,near_collisions,obstacle_hits,mean_arrival_step,runtime
empty-48-48,empty-48-48-random-1,32,flow,orca,0.0,30.0,0.9375,820.1878662109375,1.1346191208151923,0.20978738367557526,0.0,60.0,0.0,142.0625,5.847110271453857
empty-48-48,empty-48-48-random-1,64,flow,orca,0.0,55.0,0.859375,1808.937255859375,1.084937490299209,0.24491816759109497,3.0,282.0,0.0,161.296875,16.348940134048462
