map,scenario,agents,policy,shield_type,success,agents_at_goal,agent_fraction_at_goal,path_length,path_length_ratio,smoothness,collisions,near_collisions,obstacle_hits,mean_arrival_step,runtime
empty-48-48,empty-48-48-random-1,32,flow,orca,0.0,29.0,0.90625,842.8126831054688,1.1659174987978724,0.23537904024124146,0.0,47.0,0.0,140.9375,5.783152103424072
empty-48-48,empty-48-48-random-1,64,flow,orca,0.0,54.0,0.84375,1890.0390625,1.1335795259864057,0.29400724172592163,6.0,320.0,0.0,160.59375,16.314286947250366
empty-48-48,empty-48-48-random-1,96,flow,orca,0.0,82.0,0.8541666666666666,2774.3623046875,1.133590281267111,0.28329432010650635,28.0,624.0,0.0,157.42708333333334,34.33399963378906
empty-48-48,empty-48-48-random-1,128,flow,orca,0.0,107.0,0.8359375,3624.916015625,1.1449068662075006,0.2823730707168579,78.0,1056.0,59.0,154.328125,59.636682748794556
