map,scenario,agents,policy,shield_type,success,agents_at_goal,agent_fraction_at_goal,path_length,path_length_ratio,smoothness,collisions,near_collisions,obstacle_hits,mean_arrival_step,runtime
empty-48-48,empty-48-48-random-1,32,discrete,orca,0.0,22.0,0.6875,1036.513671875,1.4338766513686523,0.28291094303131104,0.0,104.0,461.0,168.5,5.188580513000488
empty-48-48,empty-48-48-random-1,64,discrete,orca,0.0,37.0,0.578125,2218.573486328125,1.330623017744028,0.29703086614608765,9.0,559.0,1296.0,191.421875,15.738580465316772
empty-48-48,empty-48-48-random-1,96,discrete,orca,0.0,66.0,0.6875,3250.5400390625,1.3281540737938744,0.28649404644966125,64.0,855.0,1141.0,179.95833333333334,33.90804886817932
empty-48-48,empty-48-48-random-1,128,discrete,orca,0.0,89.0,0.6953125,4188.4189453125,1.3228857133163279,0.2911979556083679,252.0,1755.0,2077.0,176.140625,59.02134108543396
