map,scenario,agents,policy,shield_type,success,agents_at_goal,agent_fraction_at_goal,path_length,path_length_ratio,smoothness,collisions,near_collisions,obstacle_hits,mean_arrival_step,runtime
empty-48-48,empty-48-48-random-1,32,flow,orca,0.0,29.0,0.90625,779.6470947265625,1.0785364397688706,0.1429697424173355,2.0,74.0,0.0,140.25,8.143479108810425
empty-48-48,empty-48-48-random-1,64,flow,orca,0.0,54.0,0.84375,1730.175048828125,1.0376986648783044,0.174443781375885,1.0,230.0,0.0,159.15625,18.749999046325684
empty-48-48,empty-48-48-random-1,96,flow,orca,0.0,82.0,0.8541666666666666,2548.947998046875,1.04148714577012,0.17667073011398315,25.0,613.0,0.0,156.82291666666666,36.90874981880188
empty-48-48,empty-48-48-random-1,128,flow,orca,0.0,109.0,0.8515625,3325.83056640625,1.0504426129896889,0.17484121024608612,62.0,1112.0,0.0,152.359375,62.121864318847656
