map,scenario,agents,policy,shield_type,success,agents_at_goal,agent_fraction_at_goal,path_length,path_length_ratio,smoothness,collisions,near_collisions,obstacle_hits,mean_arrival_step,runtime
empty-48-48,empty-48-48-random-1,32,flow,orca,0.0,29.0,0.90625,764.36865234375,1.0574007785649362,0.10991434752941132,0.0,78.0,0.0,139.75,10.192066192626953
empty-48-48,empty-48-48-random-1,64,flow,orca,0.0,54.0,0.84375,1697.95556640625,1.0183745427815865,0.14226974546909332,10.0,279.0,0.0,159.28125,20.687097311019897
empty-48-48,empty-48-48-random-1,96,flow,orca,0.0,81.0,0.84375,2492.0283203125,1.0182300558855273,0.13969317078590393,22.0,687.0,0.0,156.30208333333334,38.83937120437622
empty-48-48,empty-48-48-random-1,128,flow,orca,0.0,108.0,0.84375,3253.97265625,1.02774674517521,0.13917843997478485,69.0,1042.0,49.0,151.6328125,63.999263048172
