map,scenario,agents,policy,shield_type,success,agents_at_goal,agent_fraction_at_goal,path_length,path_length_ratio,smoothness,collisions,near_collisions,obstacle_hits,mean_arrival_step,runtime
empty-48-48,empty-48-48-random-1,32,orca,orca,1.0,32.0,1.0,719.161376953125,0.9948626197219845,0.006330322008579969,0.0,55.0,0.0,112.4375,0.9708011150360107
empty-48-48,empty-48-48-random-1,64,orca,orca,0.0,62.0,0.96875,1659.788330078125,0.9954831652839073,0.0071595474146306515,2.0,239.0,0.0,129.609375,3.9322257041931152
random-32-32-10,random-32-32-10-random-1,32,orca,orca,0.0,1.0,0.03125,166.4437713623047,0.2818692439733074,0.02637597918510437,695.0,17.0,6044.0,249.125,7.294148206710815
random-32-32-10,random-32-32-10-random-1,64,orca,orca,0.0,1.0,0.015625,280.08868408203125,0.2596837600211415,0.025692349299788475,1185.0,1133.0,11368.0,252.5625,10.27494764328003
empty-48-48,empty-48-48-random-1,32,orca,orca,1.0,32.0,1.0,719.161376953125,0.9948626197219845,0.006330322008579969,0.0,55.0,0.0,112.4375,0.9705183506011963
empty-48-48,empty-48-48-random-1,64,orca,orca,0.0,62.0,0.96875,1659.788330078125,0.9954831652839073,0.0071595474146306515,2.0,239.0,0.0,129.609375,3.9161221981048584
