map,agent_count,flow,ssil,flow_rows,ssil_rows
Paris_1_256,100,11.47471357345581,2.300161428451538,25,25
Paris_1_256,200,13.251061191558838,3.6608713912963866,25,25
Paris_1_256,300,15.315174684524536,6.198098278045654,25,25
Paris_1_256,400,20.11645315170288,9.352916889190674,25,25
Paris_1_256,500,25.85515085220337,13.127300367355346,25,25
Paris_1_256,600,29.981903972625734,16.033907976150513,25,25
Paris_1_256,700,37.20857704162598,20.151352758407594,25,25
Paris_1_256,800,39.81464324951172,23.51626760482788,25,25
Paris_1_256,900,48.18871722221375,27.77427339553833,25,25
Paris_1_256,1000,55.42419921875,32.9431492805481,25,25
empty-48-48,100,2.149869985580444,0.8151867485046387,25,25
empty-48-48,200,2.4858238887786865,1.0283254528045653,25,25
empty-48-48,300,3.1303907203674317,1.3056898212432861,25,25
empty-48-48,400,4.925014629364013,1.7203631401062012,25,25
empty-48-48,500,6.125849161148071,2.5531741046905516,25,25
empty-48-48,600,8.837456264495849,3.3043444538116455,25,25
empty-48-48,700,11.576201601028442,4.739320497512818,25,25
empty-48-48,800,15.31935866355896,6.396368932723999,25,25
empty-48-48,900,22.03701753616333,10.094004564285278,25,25
empty-48-48,1000,32.4707765007019,14.027154150009155,25,25
den520d,100,9.093594875335693,1.903253059387207,25,25
den520d,200,10.459806175231934,2.960897741317749,25,25
den520d,300,12.048019618988038,5.016184511184693,25,25
den520d,400,16.022287731170653,7.440539331436157,25,25
den520d,500,20.722934255599977,10.472141189575195,25,25
den520d,600,23.59629831314087,12.817215900421143,25,25
den520d,700,30.049246778488158,16.377576303482055,25,25
den520d,800,32.727908267974854,19.659832801818848,25,25
den520d,900,39.50700572967529,23.972874803543093,25,25
den520d,1000,49.32340863227844,30.61507755279541,25,25
random-64-64-10,100,2.82470724105835,0.934471778869629,25,25
random-64-64-10,200,3.4271952533721923,1.2973167324066162,25,25
random-64-64-10,300,4.282405004501343,1.9538840007781983,25,25
random-64-64-10,400,5.20753396987915,3.1897028923034667,25,25
random-64-64-10,500,8.024278240203857,3.5376397228240966,25,25
random-64-64-10,600,10.513661832809449,5.1616898536682125,25,25
random-64-64-10,700,14.631268119812011,8.208074073791504,25,25
random-64-64-10,800,21.19690462112427,9.606477041244506,25,25
random-64-64-10,900,25.07829761505127,12.383441257476807,25,25
random-64-64-10,1000,31.34425554275513,17.255509986877442,25,25
den312d,100,3.431851711273193,1.0004089260101319,25,25
den312d,200,5.416704902648926,1.8624903392791747,25,25
den312d,300,7.651921854019165,3.102497625350952,25,25
den312d,400,11.680350379943848,5.5296945381164555,25,25
den312d,500,15.893567838668822,7.736826486587525,25,25
den312d,600,18.488907833099365,10.066020889282226,25,25
den312d,700,23.19869970321655,12.71335599899292,25,25
den312d,800,27.82098600387573,18.43458772659302,25,25
den312d,900,32.96938730239868,21.975699911117555,25,25
den312d,1000,38.36999901771546,25.874785671234132,25,25
random-32-32-10,100,2.188893156051636,0.8151914119720459,25,25
random-32-32-10,200,4.855214395523071,1.5420485973358153,25,25
random-32-32-10,300,7.376753950119019,2.164273977279663,25,25
random-32-32-10,400,12.674796323776246,5.483349618911743,25,25
random-32-32-10,500,,,,
random-32-32-10,600,,,,
random-32-32-10,700,,,,
random-32-32-10,800,,,,
random-32-32-10,900,,,,
random-32-32-10,1000,,,,
maze-128-128-2,100,53.5121577167511,7.412505550384521,25,25
maze-128-128-2,200,68.29190409660339,14.072901983261108,25,25
maze-128-128-2,300,91.86212472915649,22.699184198379516,25,25
maze-128-128-2,400,115.21392824172973,39.5115758228302,25,25
maze-128-128-2,500,120.05672688484192,65.08847378730773,25,25
maze-128-128-2,600,120.05495241165161,102.07155715942383,25,25
maze-128-128-2,700,120.05687194824219,118.19709966659546,25,25
maze-128-128-2,800,120.05954791069031,120.08686661720276,25,25
maze-128-128-2,900,120.06064686775207,120.07955463409424,25,25
maze-128-128-2,1000,120.06675713539124,120.07749026298524,25,25
warehouse-10-20-10-2-1,100,9.4523863697052,2.3474571895599365,25,25
warehouse-10-20-10-2-1,200,12.998592071533203,4.130285015106201,25,25
warehouse-10-20-10-2-1,300,15.297703065872192,5.845033512115479,25,25
warehouse-10-20-10-2-1,400,18.290101737976073,8.345387535095215,25,25
warehouse-10-20-10-2-1,500,23.236179533004762,11.377673091888427,25,25
warehouse-10-20-10-2-1,600,27.12083284378052,14.887695960998535,25,25
warehouse-10-20-10-2-1,700,34.09966414451599,18.706543550491332,25,25
warehouse-10-20-10-2-1,800,37.76804997444153,23.15330289840698,25,25
warehouse-10-20-10-2-1,900,47.75647790908813,32.56764245986938,25,25
warehouse-10-20-10-2-1,1000,56.42287954330445,38.35453798294068,25,25
